name	kind	paramMin	varargs	origin	originLine	decl
QuaternionInvert	function	1	0	raymath.h	2211	I Quaternion QuaternionInvert(Quaternion q)
QuaternionLength	function	1	0	raymath.h	2186	I float QuaternionLength(Quaternion q)
QuaternionLerp	function	3	0	raymath.h	2268	I Quaternion QuaternionLerp(Quaternion q1, Quaternion q2, float amount)
QuaternionMultiply	function	2	0	raymath.h	2231	I Quaternion QuaternionMultiply(Quaternion q1, Quaternion q2)
QuaternionNlerp	function	3	0	raymath.h	2281	I Quaternion QuaternionNlerp(Quaternion q1, Quaternion q2, float amount)
QuaternionNormalize	function	1	0	raymath.h	2194	I Quaternion QuaternionNormalize(Quaternion q)
QuaternionScale	function	2	0	raymath.h	2247	I Quaternion QuaternionScale(Quaternion q, float mul)
QuaternionSlerp	function	3	0	raymath.h	2306	I Quaternion QuaternionSlerp(Quaternion q1, Quaternion q2, float amount)
QuaternionSubtract	function	2	0	raymath.h	2162	I Quaternion QuaternionSubtract(Quaternion q1, Quaternion q2)
QuaternionSubtractValue	function	2	0	raymath.h	2170	I Quaternion QuaternionSubtractValue(Quaternion q, float sub)
QuaternionToAxisAngle	function	3	0	raymath.h	2543	I void QuaternionToAxisAngle(Quaternion q, Vector3 *outAxis, float *outAngle)
QuaternionToEuler	function	1	0	raymath.h	2602	I Vector3 QuaternionToEuler(Quaternion q)
QuaternionToMatrix	function	1	0	raymath.h	2470	I Matrix QuaternionToMatrix(Quaternion q)
QuaternionTransform	function	2	0	raymath.h	2626	I Quaternion QuaternionTransform(Quaternion q, Matrix mat)
Ray	typedef_struct	-1	0	raylib.h	445	t Ray {
RayCollision	typedef_struct	-1	0	raylib.h	451	t RayCollision {
Rectangle	typedef_struct	-1	0	raylib.h	256	t Rectangle {
Remap	function	5	0	raymath.h	243	I float Remap(float value, float inputStart, float inputEnd, float outputStart, float outputEnd)
RenderTexture	typedef_struct	-1	0	raylib.h	288	t RenderTexture {
RenderTexture2D	typedef_alias	-1	0	raylib.h	295	e RenderTexture2D;
RestoreWindow	function	0	0	raylib.h	1005	I void RestoreWindow(void); // Restore window from being minimized/maximized
ResumeAudioStream	function	1	0	raylib.h	1728	I void ResumeAudioStream(AudioStream stream); // Resume audio stream
ResumeMusicStream	function	1	0	raylib.h	1712	I void ResumeMusicStream(Music music); // Resume playing paused music
ResumeSound	function	1	0	raylib.h	1691	I void ResumeSound(Sound sound); // Resume a paused sound
SaveFileData	function	3	0	raylib.h	1131	I bool SaveFileData(const char *fileName, const void *data, int dataSize); // Save data to file from byte array (write), returns true on success
SaveFileDataCallback	typedef_alias	-1	0	raylib.h	970	l (*SaveFileDataCallback)(const char *fileName, const void *data, int dataSize); // FileIO: Save binary data
SaveFileText	function	2	0	raylib.h	1135	I bool SaveFileText(const char *fileName, const char *text); // Save text data to file (write), string must be '\0' terminated, returns true on success
SaveFileTextCallback	typedef_alias	-1	0	raylib.h	972	l (*SaveFileTextCallback)(const char *fileName, const char *text); // FileIO: Save text data
SeekMusicStream	function	2	0	raylib.h	1713	I void SeekMusicStream(Music music, float position); // Seek music to a position (in seconds)
SetAudioStreamBufferSizeDefault	function	1	0	raylib.h	1734	I void SetAudioStreamBufferSizeDefault(int size); // Default size for new audio streams
SetAudioStreamCallback	function	2	0	raylib.h	1735	I void SetAudioStreamCallback(AudioStream stream, AudioCallback callback); // Audio thread callback to request new data
SetAudioStreamPan	function	2	0	raylib.h	1733	I void SetAudioStreamPan(AudioStream stream, float pan); // Set pan for audio stream (-1.0 left, 0.0 center, 1.0 right)
SetAudioStreamPitch	function	2	0	raylib.h	1732	I void SetAudioStreamPitch(AudioStream stream, float pitch); // Set pitch for audio stream (1.0 is base level)
SetAudioStreamVolume	function	2	0	raylib.h	1731	I void SetAudioStreamVolume(AudioStream stream, float volume); // Set volume for audio stream (1.0 is max level)
SetAutomationEventBaseFrame	function	1	0	raylib.h	1190	I void SetAutomationEventBaseFrame(int frame); // Set automation event internal base frame to start recording
SetAutomationEventList	function	1	0	raylib.h	1189	I void SetAutomationEventList(AutomationEventList *list); // Set automation event list to record to
SetClipboardText	function	1	0	raylib.h	1032	I void SetClipboardText(const char *text); // Set clipboard text content
SetConfigFlags	function	1	0	raylib.h	1115	I void SetConfigFlags(unsigned int flags); // Set up init configuration flags (view FLAGS)
SetExitKey	function	1	0	raylib.h	1208	I void SetExitKey(int key); // Set a custom key to exit program (default is ESC)
SetGamepadMappings	function	1	0	raylib.h	1220	I int SetGamepadMappings(const char *mappings); // Set internal gamepad mappings (SDL_GameControllerDB)
SetGamepadVibration	function	4	0	raylib.h	1221	I void SetGamepadVibration(int gamepad, float leftMotor, float rightMotor, float duration); // Set gamepad vibration for both motors (duration in seconds)
SetGesturesEnabled	function	1	0	raylib.h	1249	I void SetGesturesEnabled(unsigned int flags); // Enable a set of gestures using flags
SetLoadFileDataCallback	function	1	0	raylib.h	1139	I void SetLoadFileDataCallback(LoadFileDataCallback callback); // Set custom file binary data loader
SetLoadFileTextCallback	function	1	0	raylib.h	1141	I void SetLoadFileTextCallback(LoadFileTextCallback callback); // Set custom file text data loader
