file	replacements	unique	top
examples/shaders/shaders_postprocessing.c	70	40	LoadShader:12|TextFormat:12|DrawText:4|Vector3:4|ClearBackground:2
examples/shaders/shaders_raymarching_rendering.c	39	26	SetShaderValue:5|GetShaderLocation:4|GetScreenHeight:3|GetScreenWidth:3|Vector3:3
examples/shaders/shaders_rlgl_compute.c	37	31	IsMouseButtonDown:3|GetMouseX:2|GetMouseY:2|LoadFileText:2|UnloadFileText:2
examples/shaders/shaders_rounded_rectangle.c	82	22	SetShaderValue:21|GetShaderLocation:9|DrawText:5|Shader:5|BeginShaderMode:4
examples/shaders/shaders_shadowmap_rendering.c	99	47	Vector3:13|GetShaderLocation:7|Model:6|RenderTexture2D:6|SetShaderValue:6
examples/shaders/shaders_shapes_textures.c	40	28	Vector2:8|DrawText:4|BeginShaderMode:2|EndShaderMode:2|BeginDrawing:1
examples/shaders/shaders_simple_mask.c	60	37	Vector3:9|LoadModelFromMesh:3|Mesh:3|Model:3|TextFormat:3
examples/shaders/shaders_spotlight_rendering.c	58	30	GetRandomValue:8|Vector2:8|SetShaderValue:5|GetShaderLocation:4|DrawText:3
examples/shaders/shaders_texture_outline.c	31	23	SetShaderValue:4|DrawText:3|GetShaderLocation:3|TextFormat:2|BeginDrawing:1
examples/shaders/shaders_texture_rendering.c	25	24	SetShaderValue:2|BeginDrawing:1|BeginShaderMode:1|ClearBackground:1|CloseWindow:1
examples/shaders/shaders_texture_tiling.c	38	34	Vector3:5|BeginDrawing:1|BeginMode3D:1|BeginShaderMode:1|Camera3D:1
examples/shaders/shaders_texture_waves.c	37	22	GetShaderLocation:8|SetShaderValue:8|DrawTexture:2|BeginDrawing:1|BeginShaderMode:1
examples/shaders/shaders_vertex_displacement.c	41	36	Vector3:4|GetShaderLocation:2|TextFormat:2|BeginDrawing:1|BeginMode3D:1
examples/shapes/raygui.h	714	53	Rectangle:204|GetColor:134|Color:58|Fade:42|Vector2:42
examples/shapes/shapes_ball_physics.c	54	28	GetRandomValue:8|Vector2:8|DrawText:6|GetScreenHeight:3|GetWindowPosition:3
examples/shapes/shapes_basic_shapes.c	32	23	Vector2:10|BeginDrawing:1|ClearBackground:1|CloseWindow:1|DrawCircle:1
examples/shapes/shapes_bouncing_ball.c	25	15	GetScreenHeight:5|DrawText:4|GetScreenWidth:2|IsKeyPressed:2|Vector2:2
examples/shapes/shapes_bullet_hell.c	63	27	IsKeyPressed:12|DrawText:10|Vector2:6|Color:5|DrawCircleLines:4
examples/shapes/shapes_circle_sector_drawing.c	32	19	TextFormat:5|Fade:4|Rectangle:4|GetScreenHeight:3|GetScreenWidth:2
examples/shapes/shapes_clock_of_clocks.c	53	21	Vector2:24|DrawRing:3|Color:2|ColorLerp:2|DrawRectanglePro:2
examples/shapes/shapes_collision_area.c	35	21	GetScreenWidth:6|GetScreenHeight:4|DrawRectangleRec:3|DrawText:3|Rectangle:3
examples/shapes/shapes_colors_palette.c	24	21	DrawText:3|Fade:2|BeginDrawing:1|CheckCollisionPointRec:1|ClearBackground:1
examples/shapes/shapes_dashed_line.c	28	19	DrawText:5|IsKeyDown:4|Color:2|Vector2:2|BeginDrawing:1
examples/shapes/shapes_digital_clock.c	95	22	Vector2:44|Color:11|Fade:10|DrawCircle:4|DrawRectanglePro:3
examples/shapes/shapes_double_pendulum.c	39	23	Vector2:14|Rectangle:3|DrawRectanglePro:2|BeginDrawing:1|BeginTextureMode:1
examples/shapes/shapes_easings_ball.c	13	12	IsKeyPressed:2|BeginDrawing:1|ClearBackground:1|CloseWindow:1|DrawCircle:1
examples/shapes/shapes_easings_box.c	20	15	GetScreenWidth:4|GetScreenHeight:2|Rectangle:2|BeginDrawing:1|ClearBackground:1
examples/shapes/shapes_easings_rectangles.c	12	12	BeginDrawing:1|ClearBackground:1|CloseWindow:1|DrawRectanglePro:1|DrawText:1
examples/shapes/shapes_easings_testbed.c	44	14	IsKeyPressed:17|DrawText:7|GetScreenHeight:4|IsKeyDown:4|TextFormat:3
examples/shapes/shapes_ellipse_collision.c	31	14	DrawText:6|Vector2:6|GetMousePosition:4|DrawCircleV:2|DrawEllipse:2
examples/shapes/shapes_following_eyes.c	30	14	DrawCircleV:6|GetScreenHeight:4|GetScreenWidth:4|Vector2:4|CheckCollisionPointCircle:2
examples/shapes/shapes_hilbert_curve.c	29	12	Vector2:12|Rectangle:4|ColorFromHSV:2|DrawLineEx:2|GetScreenHeight:2
examples/shapes/shapes_kaleidoscope.c	38	22	Vector2:9|CheckCollisionPointRec:3|Rectangle:3|DrawLineEx:2|Vector2Multiply:2
examples/shapes/shapes_lines_bezier.c	24	16	CheckCollisionPointCircle:4|Vector2:3|DrawCircleV:2|IsMouseButtonDown:2|IsMouseButtonReleased:2
examples/shapes/shapes_lines_drawing.c	42	28	GetMousePosition:6|BeginTextureMode:3|EndTextureMode:3|ClearBackground:2|Color:2
examples/shapes/shapes_logo_raylib.c	11	9	DrawRectangle:2|DrawText:2|BeginDrawing:1|ClearBackground:1|CloseWindow:1
examples/shapes/shapes_logo_raylib_anim.c	33	14	DrawRectangle:12|Fade:6|DrawText:2|GetScreenHeight:2|GetScreenWidth:2
examples/shapes/shapes_math_angle_rotation.c	19	13	Vector2:4|Color:2|DrawLineEx:2|DrawText:2|BeginDrawing:1
examples/shapes/shapes_math_sine_cosine.c	105	27	Vector2:35|DrawText:12|DrawLineEx:10|TextFormat:9|DrawCircleSectorLines:4
examples/shapes/shapes_mouse_trail.c	15	13	DrawCircleV:2|Vector2:2|BeginDrawing:1|ClearBackground:1|CloseWindow:1
examples/shapes/shapes_penrose_tile.c	25	17	Vector2:5|DrawText:3|IsKeyPressed:2|TraceLog:2|BeginDrawing:1
examples/shapes/shapes_pie_chart.c	44	24	Rectangle:14|Vector2:6|Color:2|ColorFromHSV:2|BeginDrawing:1
examples/shapes/shapes_rectangle_advanced.c	28	15	Color:6|Rectangle:4|Vector2:4|GetScreenHeight:2|GetScreenWidth:2
examples/shapes/shapes_rectangle_scaling.c	26	20	Vector2:4|GetScreenHeight:2|GetScreenWidth:2|Rectangle:2|BeginDrawing:1
examples/shapes/shapes_recursive_tree.c	35	18	Vector2:7|Rectangle:6|TextFormat:5|Color:2|GetScreenHeight:2
examples/shapes/shapes_ring_drawing.c	39	20	Rectangle:8|TextFormat:6|Fade:5|GetScreenHeight:3|GetScreenWidth:2
examples/shapes/shapes_rlgl_color_wheel.c	91	33	Vector2:19|Color:6|IsKeyDown:6|Vector2Add:6|Vector2Distance:4
examples/shapes/shapes_rlgl_triangle.c	31	19	DrawText:4|IsKeyPressed:4|Vector2:4|CheckCollisionPointCircle:2|DrawCircleV:2
examples/shapes/shapes_rounded_rectangle_drawing.c	41	19	Rectangle:9|TextFormat:6|Fade:5|GetScreenHeight:4|GetScreenWidth:3
examples/shapes/shapes_simple_particles.c	33	19	Vector2:7|DrawText:5|IsKeyPressed:4|TextFormat:2|BeginDrawing:1
examples/shapes/shapes_splines_drawing.c	61	25	Vector2:10|IsKeyPressed:7|GetMousePosition:6|Rectangle:5|DrawCircleV:4
examples/shapes/shapes_starfield_effect.c	30	22	GetRandomValue:4|Vector2:4|DrawText:2|TextFormat:2|BeginDrawing:1
examples/shapes/shapes_top_down_lights.c	111	43	Vector2:18|Rectangle:15|GetScreenHeight:6|GetScreenWidth:6|DrawText:4
examples/shapes/shapes_triangle_strip.c	32	19	Vector2:8|Color:2|ColorFromHSV:2|DrawTriangle:2|DrawTriangleLines:2
examples/shapes/shapes_vector_angle.c	46	22	DrawText:10|Vector2:6|Vector2Subtract:4|DrawLineEx:3|DrawCircleSector:2
examples/text/text_3d_drawing.c	197	56	Vector3:33|GetFontDefault:25|IsKeyPressed:14|TextLength:13|Color:12
examples/text/text_codepoints_loading.c	31	26	DrawText:3|IsKeyPressed:3|TextFormat:2|BeginDrawing:1|ClearBackground:1
examples/text/text_font_filters.c	45	26	DrawText:10|SetTextureFilter:4|IsKeyPressed:3|IsKeyDown:2|LoadFontEx:2
examples/text/text_font_loading.c	24	17	DrawText:3|DrawTextEx:2|Font:2|GetScreenHeight:2|UnloadFont:2
examples/text/text_font_sdf.c	52	32	DrawText:6|GetScreenWidth:4|DrawTextEx:2|DrawTexture:2|Font:2
examples/text/text_font_spritefont.c	25	13	DrawTextEx:3|Font:3|LoadFont:3|MeasureTextEx:3|UnloadFont:3
examples/text/text_format_text.c	16	10	DrawText:4|TextFormat:4|BeginDrawing:1|ClearBackground:1|CloseWindow:1
examples/text/text_inline_styling.c	52	21	Vector2:12|GetFontDefault:7|Color:6|Font:4|GetRandomValue:3
examples/text/text_input_box.c	26	19	DrawText:5|DrawRectangleLines:2|GetCharPressed:2|SetMouseCursor:2|BeginDrawing:1
examples/text/text_rectangle_bounds.c	55	26	Color:9|Rectangle:9|DrawText:5|Font:5|DrawRectangleRec:3
examples/text/text_sprite_fonts.c	23	16	LoadFont:8|BeginDrawing:1|ClearBackground:1|CloseWindow:1|Color:1
examples/text/text_strings_management.c	82	35	GetRandomValue:13|DrawText:8|Color:6|IsKeyPressed:6|TextFormat:5
examples/text/text_unicode_emojis.c	77	34	Color:9|Font:8|Rectangle:8|Vector2:8|DrawText:3
examples/text/text_unicode_ranges.c	52	23	Vector2:7|DrawTextEx:6|DrawText:5|IsKeyPressed:5|Font:3
examples/text/text_words_alignment.c	28	20	IsKeyPressed:4|Vector2:3|DrawText:2|Lerp:2|Rectangle:2
examples/text/text_writing_anim.c	13	11	DrawText:3|BeginDrawing:1|ClearBackground:1|CloseWindow:1|EndDrawing:1
examples/textures/textures_background_scrolling.c	31	14	DrawTextureEx:6|Vector2:6|LoadTexture:3|Texture2D:3|UnloadTexture:3
examples/textures/textures_blend_modes.c	31	19	DrawText:6|DrawTexture:2|Image:2|LoadImage:2|LoadTextureFromImage:2
examples/textures/textures_bunnymark.c	32	23	GetRandomValue:5|Color:2|DrawText:2|GetFrameTime:2|TextFormat:2
examples/textures/textures_cellular_automata.c	39	27	DrawRectangleLines:3|GetImageColor:3|ImageDrawPixel:3|DrawRectangle:2|DrawRectangleLinesEx:2
examples/textures/textures_clipboard_image.c	28	24	IsKeyPressed:2|Rectangle:2|UnloadTexture:2|Vector2:2|BeginDrawing:1
examples/textures/textures_fog_of_war.c	37	25	IsKeyDown:4|DrawRectangle:3|Fade:3|Vector2:3|ClearBackground:2
examples/textures/textures_framebuffer_rendering.c	87	37	Vector3:14|Rectangle:6|DrawLine3D:5|DrawText:5|Camera3D:4
examples/textures/textures_gif_player.c	31	21	DrawText:7|TextFormat:4|IsKeyPressed:2|BeginDrawing:1|ClearBackground:1
examples/textures/textures_image_channel.c	63	19	Image:6|LoadTextureFromImage:6|Rectangle:6|Texture2D:6|UnloadImage:6
examples/textures/textures_image_drawing.c	37	29	Rectangle:4|DrawText:2|Image:2|ImageCrop:2|LoadImage:2
examples/textures/textures_image_generation.c	62	26	DrawText:10|Image:9|LoadTextureFromImage:9|UnloadImage:9|GenImageGradientLinear:3
examples/textures/textures_image_kernel.c	46	18	DrawTexture:4|Image:4|ImageCrop:4|LoadTextureFromImage:4|Rectangle:4
examples/textures/textures_image_loading.c	15	15	BeginDrawing:1|ClearBackground:1|CloseWindow:1|DrawText:1|DrawTexture:1
examples/textures/textures_image_processing.c	45	37	UnloadImage:3|DrawRectangleLines:2|DrawText:2|Image:2|ImageCopy:2
examples/textures/textures_image_rotate.c	25	17	Image:3|ImageRotate:3|LoadImage:3|LoadTextureFromImage:3|BeginDrawing:1
examples/textures/textures_image_text.c	25	23	Vector2:3|BeginDrawing:1|ClearBackground:1|CloseWindow:1|DrawText:1
examples/textures/textures_logo_raylib.c	12	12	BeginDrawing:1|ClearBackground:1|CloseWindow:1|DrawText:1|DrawTexture:1
examples/textures/textures_magnifying_glass.c	51	34	DrawTexture:7|Texture2D:3|UnloadTexture:3|Vector2:3|BeginBlendMode:2
examples/textures/textures_mouse_painting.c	72	42	BeginTextureMode:4|EndTextureMode:4|GetScreenWidth:4|IsKeyPressed:4|Rectangle:4
